emp_no,last_name,dept_name
10001,Facello,Development
10004,Koblick,Production
10009,Peac,Quality Management
10018,Peha,Production
10018,Peha,Development
10035,Chappelet,Production
10053,Zschoche,Sales
10058,McFarlin,Marketing
10066,Schusler,Development
10067,Stavenow,Quality Management
10070,Garigliano,Development
10070,Garigliano,Research
10072,Sidou,Development
10076,Ritzmann,Development
10088,Syrzycki,Sales
10088,Syrzycki,Customer Service
10100,Haraldson,Human Resources
10103,Birch,Development
10126,Valtorta,Customer Service
10129,Peir,Development
10130,Casperson,Production
10134,Siprelle,Production
10134,Siprelle,Development
10138,Shimshoni,Quality Management
10150,Perng,Development
10153,Majewski,Development
10157,Aloisi,Development
10198,Furedi,Development
10215,Duclos,Sales
10224,Trogemann,Production
10233,Vendrig,Human Resources
10258,Ishibashi,Development
10272,Cannane,Finance
10282,Benzmuller,Production
10283,Birjandi,Development
10326,Czap,Research
10340,Laventhal,Marketing
10347,Kaminger,Research
10355,Cochrane,Sales
10356,Standera,Research
10364,Dengi,Production
10372,Frijda,Production
10387,Wrigley,Customer Service
10396,Rahier,Development
10402,Ebeling,Quality Management
10404,Rosti,Development
10426,Luce,Development
10429,Improta,Development
10432,Tiemann,Customer Service
10451,Ranta,Production
10453,Matzel,Customer Service
10463,Zaiane,Sales
10486,Kossowski,Quality Management
10494,Servieres,Production
10504,Varker,Sales
10512,Gihr,Human Resources
10522,Cesareni,Human Resources
10548,Gunderson,Marketing
10548,Gunderson,Sales
10564,Thisen,Production
10623,Danlos,Development
10623,Danlos,Research
10628,Krogh,Development
10631,Chaudhuri,Development
10642,Narlikar,Development
10653,Feinberg,Development
10671,Rebaine,Human Resources
10676,Danley,Development
10693,Daescu,Customer Service
10702,Szemeredi,Development
10718,Rullman,Development
10726,Minakawa,Development
10734,Erdi,Production
10745,Ranze,Production
10749,Brendel,Production
10767,Doering,Sales
10768,Candan,Production
10778,Merey,Marketing
10791,Sgarro,Development
10795,Naudin,Sales
10808,Leijenhorst,Development
10835,Kermarrec,Production
10836,Leivant,Sales
10836,Leivant,Customer Service
10844,Koprowski,Development
10847,Danley,Research
10848,Bratsberg,Production
10878,Deville,Sales
10879,Chleq,Development
10883,Champarnaud,Production
10909,Atchley,Development
10921,Bahi,Production
10924,Atchley,Sales
10927,Scallan,Marketing
10936,Schicker,Human Resources
10943,Skafidas,Development
10965,Braunschweig,Sales
10969,Noriega,Development
10974,Papsdorf,Development
10986,Schiper,Development
